"From.country","To.country","Average.Points"
"Iceland","Germany",5.54545454545455
"Iceland","Greece",4.75
"Iceland","Hungary",7.4
"Iceland","Ireland",5.07692307692308
"Iceland","Israel",4.44444444444444
"Iceland","Italy",4.33333333333333
"Iceland","Latvia",5.22222222222222
"Iceland","Lithuania",5.25
"Iceland","Malta",4.44444444444444
"Iceland","Moldova",8
"Iceland","Montenegro",7
"Iceland","Norway",7.56521739130435
"Iceland","Poland",3.71428571428571
"Iceland","Russia",4
"Iceland","San Marino",4
"Iceland","Serbia",5.28571428571429
"Iceland","Slovenia",2.33333333333333
"Iceland","Spain",2.88888888888889
"Iceland","Sweden",7.03571428571429
"Iceland","Switzerland",5.30769230769231
"Iceland","The Netherlands",5.6
"Iceland","Ukraine",6.66666666666667
"Iceland","United Kingdom",4.625
"Ireland","Albania",2.66666666666667
"Ireland","Armenia",2
"Ireland","Australia",5
"Ireland","Austria",6.06666666666667
"Ireland","Azerbaijan",4.5
"Ireland","Belarus",3.33333333333333
"Ireland","Belgium",6.6
"Ireland","Bosnia & Herzegovina",3.42857142857143
"Ireland","Bulgaria",1
"Ireland","Croatia",3.71428571428571
"Ireland","Cyprus",4.5
"Ireland","Denmark",7.36
"Ireland","Estonia",5.75
"Ireland","Finland",6.69230769230769
"Ireland","France",6.47368421052632
"Ireland","Georgia",4.33333333333333
"Ireland","Germany",5.29166666666667
"Ireland","Greece",4.28571428571429
"Ireland","Hungary",5.8
"Ireland","Iceland",6.11111111111111
"Ireland","Israel",6.21428571428571
"Ireland","Italy",7.16666666666667
"Ireland","Latvia",8.27272727272727
"Ireland","Lithuania",7.46666666666667
"Ireland","Malta",6.06666666666667
"Ireland","Moldova",3.625
"Ireland","Montenegro",4.5
"Ireland","Norway",6.23076923076923
"Ireland","Poland",7.625
"Ireland","Russia",6.66666666666667
"Ireland","Serbia",5.25
"Ireland","Slovenia",5.16666666666667
"Ireland","Spain",4.7
"Ireland","Sweden",7.04166666666667
"Ireland","Switzerland",5.41176470588235
"Ireland","The Netherlands",5.59090909090909
"Ireland","Ukraine",4.81818181818182
"Ireland","United Kingdom",5.81818181818182
"Israel","Albania",4.5
"Israel","Armenia",8.81818181818182
"Israel","Australia",7
"Israel","Austria",6.55555555555556
"Israel","Azerbaijan",6.88888888888889
"Israel","Belarus",5.85714285714286
"Israel","Belgium",4.33333333333333
"Israel","Bosnia & Herzegovina",2
"Israel","Bulgaria",6
"Israel","Croatia",6.75
"Israel","Cyprus",4.6875
"Israel","Denmark",6.45
"Israel","Estonia",4
"Israel","F.Y.R. Macedonia",2.5
"Israel","Finland",4.5
"Israel","France",6.05263157894737
"Israel","Georgia",5.14285714285714
"Israel","Germany",7.1
"Israel","Greece",6.1
"Israel","Hungary",6.5
"Israel","Iceland",6.3
"Israel","Ireland",4.82352941176471
"Israel","Italy",4.44444444444444
"Israel","Latvia",6.66666666666667
"Israel","Lithuania",2.75
"Israel","Malta",5.1
"Israel","Moldova",4.22222222222222
"Israel","Montenegro",5.33333333333333
"Israel","Norway",5.47058823529412
"Israel","Poland",3
"Israel","Russia",8.22222222222222
"Israel","San Marino",4
"Israel","Serbia",5.4
"Israel","Slovenia",3.5
"Israel","Spain",5.68421052631579
"Israel","Sweden",7.27272727272727
"Israel","Switzerland",4.4375
"Israel","The Netherlands",5.5
"Israel","Ukraine",6.85714285714286
"Israel","United Kingdom",6.27272727272727
"Italy","Albania",12
"Italy","Australia",6
"Italy","Austria",6.9
"Italy","Belarus",7
"Italy","Belgium",5
"Italy","Bosnia & Herzegovina",3.66666666666667
"Italy","Bulgaria",10
"Italy","Cyprus",4.625
"Italy","Denmark",5.22222222222222
"Italy","Estonia",6.33333333333333
"Italy","F.Y.R. Macedonia",1.5
"Italy","Finland",7
"Italy","France",7.53846153846154
"Italy","Germany",5.61538461538461
"Italy","Greece",4.38461538461539
"Italy","Hungary",3
"Italy","Iceland",4.14285714285714
"Italy","Ireland",7.75
"Italy","Israel",4.55555555555556
"Italy","Latvia",4
"Italy","Lithuania",5.66666666666667
"Italy","Malta",6
"Italy","Moldova",5.83333333333333
"Italy","Norway",5.625
"Italy","Poland",5
"Italy","Russia",6.5
"Italy","San Marino",3
"Italy","Serbia",3.75
"Italy","Slovenia",5.5
"Italy","Spain",6.38461538461539
"Italy","Sweden",6.375
"Italy","Switzerland",5.4
"Italy","The Netherlands",4.54545454545455
"Italy","Ukraine",7.16666666666667
"Italy","United Kingdom",6.26666666666667
"Latvia","Albania",2.75
"Latvia","Armenia",4.5
"Latvia","Australia",5
"Latvia","Austria",5
"Latvia","Azerbaijan",4
"Latvia","Belarus",6.16666666666667
"Latvia","Belgium",5.16666666666667
"Latvia","Bosnia & Herzegovina",2
"Latvia","Bulgaria",1.5
"Latvia","Croatia",4.8
"Latvia","Cyprus",3.8
"Latvia","Denmark",7
"Latvia","Estonia",9.8125
"Latvia","Finland",5.71428571428571
"Latvia","France",3.5
"Latvia","Georgia",7
"Latvia","Germany",5.85714285714286
"Latvia","Greece",4.16666666666667
"Latvia","Hungary",3.85714285714286
"Latvia","Iceland",4.63636363636364
"Latvia","Ireland",5.55555555555556
"Latvia","Israel",1.75
"Latvia","Italy",10
"Latvia","Lithuania",7.76923076923077
"Latvia","Malta",4.6
"Latvia","Moldova",4.6
"Latvia","Montenegro",3.33333333333333
"Latvia","Norway",7.16666666666667
"Latvia","Poland",3.4
"Latvia","Russia",9.27777777777778
"Latvia","San Marino",2
"Latvia","Serbia",3
"Latvia","Slovenia",3.8
"Latvia","Spain",4.33333333333333
"Latvia","Sweden",7.25
"Latvia","Switzerland",5.5
"Latvia","The Netherlands",8.66666666666667
"Latvia","Ukraine",7.57142857142857
"Latvia","United Kingdom",3
"Lithuania","Armenia",1.5
"Lithuania","Australia",3
"Lithuania","Austria",10
"Lithuania","Azerbaijan",7.55555555555556
"Lithuania","Belarus",5.9
"Lithuania","Belgium",4
"Lithuania","Bosnia & Herzegovina",3.5
"Lithuania","Bulgaria",1
"Lithuania","Croatia",4.16666666666667
"Lithuania","Cyprus",3.16666666666667
"Lithuania","Denmark",4
"Lithuania","Estonia",6.92857142857143
"Lithuania","Finland",6.33333333333333
"Lithuania","France",5.57142857142857
"Lithuania","Georgia",9.58333333333333
"Lithuania","Germany",4
"Lithuania","Greece",5
"Lithuania","Hungary",5.33333333333333
"Lithuania","Iceland",5.85714285714286
"Lithuania","Ireland",7.28571428571429
"Lithuania","Israel",3
"Lithuania","Italy",5
"Lithuania","Latvia",10
"Lithuania","Malta",3.63636363636364
"Lithuania","Moldova",5.8
"Lithuania","Montenegro",1.5
"Lithuania","Norway",6.45454545454545
"Lithuania","Poland",5.22222222222222
"Lithuania","Russia",7.70588235294118
"Lithuania","Serbia",2.71428571428571
"Lithuania","Slovenia",4.4
"Lithuania","Spain",6
"Lithuania","Sweden",5.71428571428571
"Lithuania","Switzerland",6.2
"Lithuania","The Netherlands",5.14285714285714
"Lithuania","Ukraine",7.125
"Lithuania","United Kingdom",4.4
"Malta","Albania",6.25
"Malta","Armenia",5.5
"Malta","Australia",6
"Malta","Austria",6.66666666666667
"Malta","Azerbaijan",9.875
"Malta","Belarus",5.25
"Malta","Belgium",8
"Malta","Bosnia & Herzegovina",3.75
"Malta","Bulgaria",3.5
"Malta","Croatia",9.25
"Malta","Cyprus",5.38461538461539
"Malta","Czech Republic",1
"Malta","Denmark",4.78571428571429
"Malta","Estonia",6.2
"Malta","F.Y.R. Macedonia",2.66666666666667
"Malta","Finland",4.28571428571429
"Malta","France",3.25
"Malta","Georgia",5.8
"Malta","Germany",3.11111111111111
"Malta","Greece",6.3
"Malta","Hungary",2
"Malta","Iceland",9.125
"Malta","Ireland",6.35714285714286
"Malta","Israel",6.7
"Malta","Italy",8.44444444444444
"Malta","Latvia",7.75
"Malta","Lithuania",3.8
"Malta","Moldova",4.5
"Malta","Montenegro",5.33333333333333
"Malta","Norway",4
"Malta","Poland",3.5
"Malta","Russia",5.5
"Malta","San Marino",6
"Malta","Serbia",4.125
"Malta","Slovenia",3.71428571428571
"Malta","Spain",5.75
"Malta","Sweden",6.75
"Malta","Switzerland",5.90909090909091
"Malta","The Netherlands",5.90909090909091
"Malta","Ukraine",6.08333333333333
"Malta","United Kingdom",6.10526315789474
"Moldova","Albania",3
"Moldova","Armenia",3.5
"Moldova","Australia",4
"Moldova","Austria",5
"Moldova","Azerbaijan",8.4
"Moldova","Belarus",7.22222222222222
"Moldova","Belgium",5.33333333333333
"Moldova","Bosnia & Herzegovina",5
"Moldova","Bulgaria",5
"Moldova","Croatia",3.66666666666667
"Moldova","Cyprus",3
"Moldova","Denmark",5
"Moldova","Estonia",4.125
"Moldova","F.Y.R. Macedonia",2.5
"Moldova","Finland",6.33333333333333
"Moldova","France",2
"Moldova","Georgia",5
"Moldova","Germany",2
"Moldova","Greece",4.45454545454545
"Moldova","Hungary",3.5
"Moldova","Iceland",6.25
"Moldova","Ireland",1.33333333333333
"Moldova","Israel",4.5
"Moldova","Italy",6
"Moldova","Latvia",5
"Moldova","Lithuania",4
"Moldova","Montenegro",4
"Moldova","Norway",4.77777777777778
"Moldova","Poland",2.25
"Moldova","Russia",8.64705882352941
"Moldova","San Marino",3
"Moldova","Serbia",3.16666666666667
"Moldova","Slovenia",3
"Moldova","Spain",2.5
"Moldova","Sweden",5.6
"Moldova","Switzerland",8
"Moldova","The Netherlands",2
"Moldova","Ukraine",8.4
"Moldova","United Kingdom",2.5
"Montenegro","Albania",8.6
"Montenegro","Armenia",6.2
"Montenegro","Austria",2
"Montenegro","Azerbaijan",6.83333333333333
"Montenegro","Belarus",3.16666666666667
"Montenegro","Belgium",1.5
"Montenegro","Bosnia & Herzegovina",9.09090909090909
"Montenegro","Bulgaria",3.66666666666667
"Montenegro","Croatia",7.11111111111111
"Montenegro","Cyprus",3
"Montenegro","Denmark",9
"Montenegro","Estonia",2.5
"Montenegro","F.Y.R. Macedonia",9.7
"Montenegro","Finland",5
"Montenegro","France",1
"Montenegro","Georgia",2
"Montenegro","Greece",7.55555555555556
"Montenegro","Hungary",8.66666666666667
"Montenegro","Iceland",4.75
"Montenegro","Ireland",1
"Montenegro","Israel",4
"Montenegro","Italy",5
"Montenegro","Latvia",2.5
"Montenegro","Lithuania",2.33333333333333
"Montenegro","Malta",1
"Montenegro","Moldova",4.57142857142857
"Montenegro","Norway",4.33333333333333
"Montenegro","Poland",2.5
"Montenegro","Russia",5.91666666666667
"Montenegro","San Marino",4
"Montenegro","Serbia",11.6666666666667
"Montenegro","Slovenia",6.875
"Montenegro","Spain",3
"Montenegro","Sweden",4.14285714285714
"Montenegro","Switzerland",3.5
"Montenegro","The Netherlands",1.33333333333333
"Montenegro","Ukraine",6.44444444444444
"Norway","Albania",4.75
"Norway","Armenia",3.5
"Norway","Australia",10
"Norway","Austria",5.22222222222222
"Norway","Azerbaijan",6
"Norway","Belarus",2
"Norway","Belgium",4.71428571428571
"Norway","Bosnia & Herzegovina",8.36363636363636
"Norway","Bulgaria",3.5
"Norway","Croatia",5
"Norway","Cyprus",4.90909090909091
"Norway","Denmark",7.85714285714286
"Norway","Estonia",5.6
"Norway","Finland",6.68181818181818
"Norway","France",5.36
"Norway","Georgia",1
"Norway","Germany",4.94117647058824
"Norway","Greece",4.35
"Norway","Hungary",5.375
"Norway","Iceland",6.73913043478261
"Norway","Ireland",5.89655172413793
"Norway","Israel",5.38095238095238
"Norway","Italy",5
"Norway","Latvia",6.83333333333333
"Norway","Lithuania",5.7
"Norway","Malta",6.16666666666667
"Norway","Moldova",3.75
"Norway","Montenegro",8
"Norway","Poland",3.81818181818182
"Norway","Russia",4.84615384615385
"Norway","Serbia",7.5
"Norway","Slovenia",4
"Norway","Spain",4.16666666666667
"Norway","Sweden",8.82857142857143
"Norway","Switzerland",5.5
"Norway","The Netherlands",5.8
"Norway","Ukraine",3.625
"Norway","United Kingdom",5.85
"Poland","Albania",4
"Poland","Armenia",5.77777777777778
"Poland","Australia",8
"Poland","Austria",4.8
"Poland","Azerbaijan",8.42857142857143
"Poland","Belarus",4.4
"Poland","Belgium",8.14285714285714
"Poland","Bosnia & Herzegovina",5
"Poland","Croatia",3.83333333333333
"Poland","Cyprus",3.33333333333333
"Poland","Denmark",5.5
"Poland","Estonia",6.66666666666667
"Poland","Finland",6.44444444444444
"Poland","France",6.5
"Poland","Georgia",4.8
"Poland","Germany",6.625
"Poland","Greece",4
"Poland","Hungary",8.16666666666667
"Poland","Iceland",3.85714285714286
"Poland","Ireland",4.4
"Poland","Israel",6.16666666666667
"Poland","Italy",8.33333333333333
"Poland","Latvia",6.75
"Poland","Lithuania",8
"Poland","Malta",4.8
"Poland","Moldova",5
"Poland","Montenegro",5
"Poland","Norway",6.46666666666667
"Poland","Russia",6.6
"Poland","Serbia",5.66666666666667
"Poland","Slovenia",3.625
"Poland","Spain",3.2
"Poland","Sweden",7.1
"Poland","Switzerland",7.2
"Poland","The Netherlands",8
"Poland","Ukraine",7.91666666666667
"Poland","United Kingdom",4.25
"Russia","Albania",2
"Russia","Armenia",9.25
"Russia","Australia",4
"Russia","Austria",3
"Russia","Azerbaijan",9.5
"Russia","Belarus",8.5
"Russia","Belgium",6.875
"Russia","Bosnia & Herzegovina",5
"Russia","Bulgaria",4
"Russia","Croatia",3.57142857142857
"Russia","Cyprus",4
"Russia","Denmark",6.28571428571429
"Russia","Estonia",5.375
"Russia","F.Y.R. Macedonia",4
"Russia","Finland",7
"Russia","France",6.85714285714286
"Russia","Georgia",6.875
"Russia","Germany",5.66666666666667
"Russia","Greece",5.11764705882353
"Russia","Hungary",4.57142857142857
"Russia","Iceland",2.75
"Russia","Ireland",6.5
"Russia","Israel",6.25
"Russia","Italy",9.5
"Russia","Latvia",3.25
"Russia","Lithuania",4.77777777777778
"Russia","Malta",8
"Russia","Moldova",6.73333333333333
"Russia","Montenegro",7
"Russia","Norway",8
"Russia","Poland",5
"Russia","San Marino",3
"Russia","Serbia",5.625
"Russia","Slovenia",5.25
"Russia","Spain",4.2
"Russia","Sweden",4.5
"Russia","Switzerland",4.66666666666667
"Russia","The Netherlands",3.66666666666667
"Russia","Ukraine",7.125
"Russia","United Kingdom",4.57142857142857
"San Marino","Albania",7.33333333333333
"San Marino","Armenia",6.66666666666667
"San Marino","Australia",8
"San Marino","Azerbaijan",6
"San Marino","Belgium",3.66666666666667
"San Marino","Bulgaria",8
"San Marino","Croatia",4
"San Marino","Denmark",2.75
"San Marino","F.Y.R. Macedonia",2
"San Marino","Finland",4.25
"San Marino","France",4
"San Marino","Georgia",3.33333333333333
"San Marino","Greece",9.85714285714286
"San Marino","Hungary",5.8
"San Marino","Iceland",6
"San Marino","Ireland",12
"San Marino","Israel",4.66666666666667
"San Marino","Italy",8.25
"San Marino","Latvia",7
"San Marino","Malta",7.6
"San Marino","Moldova",6
"San Marino","Montenegro",4.5
"San Marino","Norway",6.4
"San Marino","Poland",10
"San Marino","Russia",4.33333333333333
"San Marino","Serbia",4.66666666666667
"San Marino","Slovenia",1
"San Marino","Spain",1
"San Marino","Sweden",5.8
"San Marino","Switzerland",1
"San Marino","The Netherlands",5.66666666666667
"San Marino","Ukraine",4
"San Marino","United Kingdom",4
"Serbia","Albania",5
"Serbia","Armenia",3
"Serbia","Australia",3
"Serbia","Austria",2
"Serbia","Azerbaijan",4.5
"Serbia","Belarus",3.33333333333333
"Serbia","Belgium",4.75
"Serbia","Bosnia & Herzegovina",9.15384615384615
"Serbia","Bulgaria",3.8
"Serbia","Croatia",8.61538461538461
"Serbia","Cyprus",2.85714285714286
"Serbia","Denmark",6
"Serbia","Estonia",3.33333333333333
"Serbia","F.Y.R. Macedonia",9.91666666666667
"Serbia","Finland",6
"Serbia","France",3.5
"Serbia","Georgia",5.5
"Serbia","Germany",8
"Serbia","Greece",7.46153846153846
"Serbia","Hungary",7.11111111111111
"Serbia","Iceland",4.33333333333333
"Serbia","Ireland",2
"Serbia","Israel",4.75
"Serbia","Italy",4.33333333333333
"Serbia","Latvia",1.5
"Serbia","Lithuania",4
"Serbia","Malta",5.25
"Serbia","Moldova",4.71428571428571
"Serbia","Montenegro",10.6666666666667
"Serbia","Norway",5.83333333333333
"Serbia","Poland",2
"Serbia","Russia",6.16666666666667
"Serbia","Slovenia",7
"Serbia","Sweden",4.1
"Serbia","Switzerland",3
"Serbia","The Netherlands",1
"Serbia","Ukraine",5.76923076923077
"Serbia","United Kingdom",8
"Slovenia","Albania",3.71428571428571
"Slovenia","Armenia",5
"Slovenia","Australia",2
"Slovenia","Austria",6.33333333333333
"Slovenia","Azerbaijan",3.8
"Slovenia","Belarus",5
"Slovenia","Belgium",3.85714285714286
"Slovenia","Bosnia & Herzegovina",8.88235294117647
"Slovenia","Bulgaria",4.66666666666667
"Slovenia","Croatia",8.63157894736842
"Slovenia","Cyprus",2.83333333333333
"Slovenia","Denmark",8.33333333333333
"Slovenia","Estonia",4.77777777777778
"Slovenia","F.Y.R. Macedonia",7.38461538461539
"Slovenia","Finland",5.75
"Slovenia","France",4.71428571428571
"Slovenia","Georgia",3.33333333333333
"Slovenia","Germany",5.42857142857143
"Slovenia","Greece",4.7
"Slovenia","Hungary",5
"Slovenia","Iceland",4.66666666666667
"Slovenia","Ireland",3.58333333333333
"Slovenia","Israel",5.14285714285714
"Slovenia","Italy",6.8
"Slovenia","Latvia",6.33333333333333
"Slovenia","Lithuania",4.5
"Slovenia","Malta",3.83333333333333
"Slovenia","Moldova",3.66666666666667
"Slovenia","Montenegro",9.42857142857143
"Slovenia","Norway",5.85714285714286
"Slovenia","Poland",4
"Slovenia","Russia",7.45454545454545
"Slovenia","Serbia",10.3846153846154
"Slovenia","Spain",2.85714285714286
"Slovenia","Sweden",6.52941176470588
"Slovenia","Switzerland",4.375
"Slovenia","The Netherlands",4.9
"Slovenia","Ukraine",5.1
"Slovenia","United Kingdom",4.75
"Spain","Albania",3.33333333333333
"Spain","Armenia",7.3
"Spain","Australia",7
"Spain","Austria",6.4
"Spain","Azerbaijan",4.8
"Spain","Belgium",5.94117647058824
"Spain","Bosnia & Herzegovina",3
"Spain","Bulgaria",7.4
"Spain","Croatia",5.5
"Spain","Cyprus",5.6
"Spain","Denmark",5.41176470588235
"Spain","Estonia",3.55555555555556
"Spain","Finland",4.85714285714286
"Spain","France",5.8125
"Spain","Georgia",2.66666666666667
"Spain","Germany",7.03703703703704
"Spain","Greece",6.8
"Spain","Hungary",4.55555555555556
"Spain","Iceland",5.27777777777778
"Spain","Ireland",6.23809523809524
"Spain","Israel",5.7
"Spain","Italy",8.36842105263158
"Spain","Latvia",6.25
"Spain","Lithuania",2.75
"Spain","Malta",5.53846153846154
"Spain","Moldova",5.09090909090909
"Spain","Montenegro",6
"Spain","Norway",5.125
"Spain","Poland",3.57142857142857
"Spain","Russia",6.3
"Spain","San Marino",5.5
"Spain","Serbia",4.625
"Spain","Slovenia",3.66666666666667
"Spain","Sweden",5.16
"Spain","Switzerland",3.5
"Spain","The Netherlands",5.44444444444444
"Spain","Ukraine",6
"Spain","United Kingdom",5.5
"Sweden","Albania",4.16666666666667
"Sweden","Armenia",4
"Sweden","Australia",12
"Sweden","Austria",4.2
"Sweden","Azerbaijan",4.66666666666667
"Sweden","Belarus",2
"Sweden","Belgium",4.85714285714286
"Sweden","Bosnia & Herzegovina",7.1875
"Sweden","Bulgaria",1
"Sweden","Croatia",3.33333333333333
"Sweden","Cyprus",4.81818181818182
"Sweden","Denmark",7.3030303030303
"Sweden","Estonia",6.8125
"Sweden","F.Y.R. Macedonia",2.5
"Sweden","Finland",7.25
"Sweden","France",4.72727272727273
"Sweden","Georgia",3
"Sweden","Germany",6.55555555555556
"Sweden","Greece",4.53333333333333
"Sweden","Hungary",7
"Sweden","Iceland",7.21739130434783
"Sweden","Ireland",7.71428571428571
"Sweden","Israel",4.94736842105263
"Sweden","Italy",5.375
"Sweden","Latvia",4.22222222222222
"Sweden","Lithuania",2.8
"Sweden","Malta",5.23076923076923
"Sweden","Moldova",3.5
"Sweden","Montenegro",5.83333333333333
"Sweden","Norway",7
"Sweden","Poland",2
"Sweden","Russia",5.6
"Sweden","Serbia",8.3
"Sweden","Slovenia",4.5
"Sweden","Spain",5.85714285714286
"Sweden","Switzerland",4.66666666666667
"Sweden","The Netherlands",5.82352941176471
"Sweden","Ukraine",4.1
"Sweden","United Kingdom",6.33333333333333
"Switzerland","Albania",8.53846153846154
"Switzerland","Armenia",2.33333333333333
"Switzerland","Australia",8
"Switzerland","Austria",6
"Switzerland","Azerbaijan",3.16666666666667
"Switzerland","Belgium",5.625
"Switzerland","Bosnia & Herzegovina",7
"Switzerland","Croatia",5.28571428571429
"Switzerland","Cyprus",3
"Switzerland","Denmark",4
"Switzerland","F.Y.R. Macedonia",5.5
"Switzerland","Finland",5.33333333333333
"Switzerland","France",6.90476190476191
"Switzerland","Georgia",1
"Switzerland","Germany",5.95238095238095
"Switzerland","Greece",5.15
"Switzerland","Hungary",5.125
"Switzerland","Iceland",5.83333333333333
"Switzerland","Ireland",6.84
"Switzerland","Israel",5.54166666666667
"Switzerland","Italy",5.78947368421053
"Switzerland","Latvia",4.4
"Switzerland","Lithuania",3
"Switzerland","Malta",5.27272727272727
"Switzerland","Moldova",4.5
"Switzerland","Montenegro",9.5
"Switzerland","Norway",5.11764705882353
"Switzerland","Poland",6.5
"Switzerland","Russia",5.66666666666667
"Switzerland","Serbia",10.4545454545455
"Switzerland","Slovenia",4
"Switzerland","Spain",5.76923076923077
"Switzerland","Sweden",6.28571428571429
"Switzerland","The Netherlands",5.05555555555556
"Switzerland","Ukraine",1.66666666666667
"Switzerland","United Kingdom",6.45454545454545
"The Netherlands","Albania",2
"The Netherlands","Armenia",10.2
"The Netherlands","Australia",8
"The Netherlands","Austria",4.4
"The Netherlands","Azerbaijan",4.625
"The Netherlands","Belarus",1.5
"The Netherlands","Belgium",7.08333333333333
"The Netherlands","Bosnia & Herzegovina",6.38461538461539
"The Netherlands","Bulgaria",2
"The Netherlands","Croatia",3.28571428571429
"The Netherlands","Cyprus",8.28571428571429
"The Netherlands","Denmark",6.85714285714286
"The Netherlands","Estonia",5.7
"The Netherlands","F.Y.R. Macedonia",2
"The Netherlands","Finland",4.18181818181818
"The Netherlands","France",6.26315789473684
"The Netherlands","Georgia",4
"The Netherlands","Germany",5.43478260869565
"The Netherlands","Greece",5.38095238095238
"The Netherlands","Hungary",7.16666666666667
"The Netherlands","Iceland",5.66666666666667
"The Netherlands","Ireland",6.26086956521739
"The Netherlands","Israel",5.95833333333333
"The Netherlands","Italy",6.16666666666667
"The Netherlands","Latvia",4
"The Netherlands","Lithuania",4.2
"The Netherlands","Malta",3.9
"The Netherlands","Moldova",5
"The Netherlands","Montenegro",8
"The Netherlands","Norway",5.11538461538461
"The Netherlands","Poland",3.66666666666667
"The Netherlands","Russia",3.72727272727273
"The Netherlands","Serbia",6.46153846153846
"The Netherlands","Slovenia",5.2
"The Netherlands","Spain",4.75
"The Netherlands","Sweden",7.14285714285714
"The Netherlands","Switzerland",7.28571428571429
"The Netherlands","Ukraine",4.77777777777778
"The Netherlands","United Kingdom",5.61111111111111
"Ukraine","Albania",2.33333333333333
"Ukraine","Armenia",7.1
"Ukraine","Austria",4.5
"Ukraine","Azerbaijan",9.4
"Ukraine","Belarus",8.72727272727273
"Ukraine","Belgium",5.5
"Ukraine","Bosnia & Herzegovina",7.33333333333333
"Ukraine","Bulgaria",3
"Ukraine","Croatia",5.11111111111111
"Ukraine","Cyprus",4.8
"Ukraine","Denmark",4.33333333333333
"Ukraine","Estonia",3.625
"Ukraine","F.Y.R. Macedonia",4.8
"Ukraine","Finland",6.5
"Ukraine","France",4
"Ukraine","Georgia",9
"Ukraine","Germany",5
"Ukraine","Greece",5.83333333333333
"Ukraine","Hungary",5.16666666666667
"Ukraine","Iceland",2.66666666666667
"Ukraine","Ireland",2
"Ukraine","Israel",4.5
"Ukraine","Italy",4
"Ukraine","Latvia",2.4
"Ukraine","Lithuania",3.85714285714286
"Ukraine","Malta",4.66666666666667
"Ukraine","Moldova",7.90909090909091
"Ukraine","Montenegro",7.2
"Ukraine","Norway",6.625
"Ukraine","Poland",7
"Ukraine","Russia",8.6
"Ukraine","San Marino",4
"Ukraine","Serbia",6.625
"Ukraine","Slovenia",4
"Ukraine","Spain",3
"Ukraine","Sweden",5.8
"Ukraine","Switzerland",5
"Ukraine","The Netherlands",5.5
"Ukraine","United Kingdom",4.5
"United Kingdom","Albania",2.33333333333333
"United Kingdom","Armenia",4
"United Kingdom","Australia",10
"United Kingdom","Austria",5.88888888888889
"United Kingdom","Azerbaijan",3
"United Kingdom","Belgium",5.16666666666667
"United Kingdom","Bosnia & Herzegovina",3.2
"United Kingdom","Bulgaria",5.5
"United Kingdom","Croatia",3.75
"United Kingdom","Cyprus",6.15789473684211
"United Kingdom","Denmark",6.54545454545455
"United Kingdom","Estonia",5.90909090909091
"United Kingdom","Finland",6.7
"United Kingdom","France",4.61111111111111
"United Kingdom","Georgia",1
"United Kingdom","Germany",5.53846153846154
"United Kingdom","Greece",7.42105263157895
"United Kingdom","Hungary",4.5
"United Kingdom","Iceland",6.1875
"United Kingdom","Ireland",8.0625
"United Kingdom","Israel",5.30434782608696
"United Kingdom","Italy",5
"United Kingdom","Latvia",6.33333333333333
"United Kingdom","Lithuania",7.06666666666667
"United Kingdom","Malta",6.28571428571429
"United Kingdom","Moldova",5
"United Kingdom","Montenegro",3
"United Kingdom","Norway",6.3125
"United Kingdom","Poland",4.125
"United Kingdom","Russia",6.125
"United Kingdom","Serbia",4
"United Kingdom","Slovenia",6
"United Kingdom","Spain",3.41176470588235
"United Kingdom","Sweden",6.27272727272727
"United Kingdom","Switzerland",6.73684210526316
"United Kingdom","The Netherlands",4.47619047619048
"United Kingdom","Ukraine",4.3
